Total parameters: 3067
torch.sum(mse).item()=52917.90625
torch.sum(mse).item()=52916.3515625
Step 0, Loss: 2.7908
Step 1000, Loss: 1.4637
Step 2000, Loss: 0.1906
Step 3000, Loss: 0.0926
Step 4000, Loss: 0.0557
Step 5000, Loss: 0.0439
Step 6000, Loss: 0.1319
Step 7000, Loss: 0.1139
Step 8000, Loss: 0.0525
Step 9000, Loss: 0.0738
Step 10000, Loss: 0.1378
Step 11000, Loss: 0.1216
Step 12000, Loss: 0.0773
Step 13000, Loss: 0.1122
Step 14000, Loss: 0.1653
Step 15000, Loss: 0.0727
Step 16000, Loss: 0.1482
Step 17000, Loss: 0.1863
Step 18000, Loss: 0.1888
Step 19000, Loss: 0.0509
Step 20000, Loss: 0.0483
Step 21000, Loss: 0.0448
Step 22000, Loss: 0.0641
Step 23000, Loss: 0.0647
Step 24000, Loss: 0.0466
Step 25000, Loss: 0.1741
Step 26000, Loss: 0.0900
Step 27000, Loss: 0.1567
Step 28000, Loss: 0.0769
Step 29000, Loss: 0.0681
Step 30000, Loss: 0.0611
