Total parameters: 2917
torch.sum(mse).item()=25427.36328125
torch.sum(mse).item()=25426.9609375
Step 0, Loss: 1.3348
Step 1000, Loss: 1.5101
Step 2000, Loss: 0.4261
Step 3000, Loss: 0.1995
Step 4000, Loss: 0.1062
Step 5000, Loss: 0.0908
Step 6000, Loss: 0.0692
Step 7000, Loss: 0.1101
Step 8000, Loss: 0.0470
Step 9000, Loss: 0.0598
Step 10000, Loss: 0.0834
Step 11000, Loss: 0.0363
Step 12000, Loss: 0.0752
Step 13000, Loss: 0.0348
Step 14000, Loss: 0.0553
Step 15000, Loss: 0.0447
Step 16000, Loss: 0.0522
Step 17000, Loss: 0.0280
Step 18000, Loss: 0.0562
Step 19000, Loss: 0.0263
Step 20000, Loss: 0.0414
Step 21000, Loss: 0.0277
Step 22000, Loss: 0.0531
Step 23000, Loss: 0.0341
Step 24000, Loss: 0.0452
Step 25000, Loss: 0.0482
Step 26000, Loss: 0.0336
Step 27000, Loss: 0.0257
Step 28000, Loss: 0.0303
Step 29000, Loss: 0.0222
Step 30000, Loss: 0.0336
